Câu hỏi,Đáp án chuẩn,AI Trả lời,Điểm EM (0-1),Điểm SIM (0-1),Điểm LLM (0-1),ĐIỂM TỔNG HỢP (Final Score)
"Tôi đang mang thai ngoài kế hoạch, chồng tôi muốn ly hôn. Theo luật, tôi có thể ly hôn được không?","Theo quy định tại khoản e) Điều 38 Luật Hôn nhân và Gia đình, việc cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn là một trong những trường hợp có thể dẫn đến ly hôn. Trong trường hợp của bạn, việc chồng bạn muốn ly hôn có thể là một lý do để tòa án xem xét và chấp nhận yêu cầu ly hôn, đặc biệt nếu có bằng chứng về hành vi cưỡng ép, lừa dối hoặc cản trở ly hôn từ phía chồng. Tuy nhiên, việc ly hôn còn phụ thuộc vào việc chứng minh các yếu tố khác theo quy định của pháp luật, như không còn khả năng hòa giải hoặc sự đồng thuận của các bên.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.764,0.5,0.456
"Tôi và chồng đang có những tranh cãi lớn về tài chính và việc chăm sóc con cái. Tôi muốn ly hôn, nhưng chồng tôi không đồng ý. Liệu tôi có quyền yêu cầu tòa án giải quyết việc này dựa trên những gì luật định?","Theo Điều 6 của Luật Hôn nhân và Gia đình, bạn có quyền yêu cầu tòa án giải quyết việc ly hôn. Tòa án sẽ áp dụng các quy định của Bộ luật Dân sự và các luật khác liên quan đến hôn nhân và gia đình để đưa ra phán quyết.  Cụ thể, tòa án sẽ xem xét các vấn đề như tài sản chung, quyền nuôi con, và các quyền lợi khác của các bên. Điều quan trọng là bạn cần cung cấp đầy đủ bằng chứng và chứng cứ để chứng minh cho yêu cầu của mình.  Ngoài ra, việc tôn trọng quyền riêng tư và các quyền riêng tư khác của các bên là một nguyên tắc quan trọng trong quá trình giải quyết vụ việc hôn nhân và gia đình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.758,0.5,0.453
"Tôi và chồng sắp cưới, gia đình tôi có tập quán riêng về việc chia tài sản sau ly hôn. Chúng tôi có thể tự thỏa thuận những tập quán đó để được công nhận hôn nhân theo pháp luật hay không?","Theo Điều 8 khoản 1 của Luật Hôn nhân và Gia đình, khi các bên không có thỏa thuận, tập quán tốt đẹp của dân tộc thể hiện bản sắc của mỗi bên, miễn là không trái với nguyên tắc quy định tại Điều 2 và không vi phạm điều cấm của Luật. Tuy nhiên, việc áp dụng tập quán cần được sự đồng thuận của các bên và được Chính phủ quy định chi tiết. Do đó, bạn và chồng có thể tự thỏa thuận các tập quán chia tài sản, nhưng cần đảm bảo rằng chúng tuân thủ các nguyên tắc pháp luật và không vi phạm điều cấm của Luật Hôn nhân và Gia đình. Điều 9 quy định việc kết hôn phải được đăng ký để có giá trị pháp lý.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.775,0.5,0.46
Tôi đã kết hôn với vợ nhưng sau này tôi phát hiện ra rằng vợ tôi đã lừa dối tôi và tôi muốn hủy bỏ cuộc hôn nhân này. Tôi có thể làm như thế nào?,"Theo quy định tại Điều 10 của Luật Hôn nhân và Gia đình, bạn có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật nếu bạn bị lừa dối kết hôn. Cụ thể, Điều 10 quy định rằng: 'Người bị cưỡng ép kết hôn, bị lừa dối kết hôn, theo quy định của pháp luật về tố tụng dân sự, có quyền tự mình yêu cầu hoặc đề nghị cá nhân, tổ chức quy định tại khoản 2 Điều này yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại Điểm b khoản 1 Điều 8 của Luật này.'  Để khởi kiện, bạn cần cung cấp bằng chứng về việc lừa dối kết hôn.  Quá trình này sẽ diễn ra theo quy trình tố tụng dân sự thông thường, bạn sẽ cần làm đơn yêu cầu hủy hôn và nộp tại Tòa án có thẩm quyền.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.762,0.5,0.455
"Tôi và chồng đang tranh chấp về tài sản. Hôn nhân của chúng tôi không được xác lập theo quy định của pháp luật. Chúng tôi đã hủy hôn, nhưng tôi vẫn muốn Tòa án công nhận quan hệ hôn nhân giữa chúng tôi. Liệu Tòa án có thể làm được điều đó không?","Theo Điều 11 khoản 2 Luật Hôn nhân và Gia đình, nếu Tòa án hủy việc kết hôn trái pháp luật nhưng cả hai bên đã đáp ứng đầy đủ các điều kiện kết hôn theo quy định tại Điều 8 của Luật và đồng ý yêu cầu công nhận quan hệ hôn nhân, Tòa án sẽ công nhận quan hệ hôn nhân đó.  Quan hệ hôn nhân sẽ được xác lập từ thời điểm các bên đã đủ điều kiện kết hôn theo quy định. Điều này đảm bảo quyền lợi của các bên trong trường hợp mối quan hệ đã được hình thành và được pháp luật công nhận, dù việc kết hôn ban đầu không tuân thủ đúng quy trình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.023,0.758,0.5,0.46
"Tôi và chồng đang gặp nhiều tranh cãi, tôi muốn ly hôn. Chồng tôi có bị coi là kết hôn trái pháp luật và hậu quả sẽ ra sao?","Theo Điều 12 khoản 1 của Luật Hôn nhân và Gia đình, nếu việc kết hôn của bạn và chồng được Tòa án hủy vì trái pháp luật, thì bạn và chồng sẽ phải chấm dứt quan hệ như vợ chồng. Điều này có nghĩa là bạn có quyền yêu cầu chồng phải trả lại các tài sản, nghĩa vụ và hợp đồng mà hai người đã ký kết trong thời gian kết hôn. Ngoài ra, các quyền và nghĩa vụ liên quan đến con cái (nếu có) sẽ được giải quyết theo quy định về quyền, nghĩa vụ của cha mẹ, con cái khi ly hôn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.022,0.777,0.5,0.468
"Tôi và chồng chưa đăng ký kết hôn nhưng đã sống với nhau như vợ chồng gần 5 năm nay. Chúng tôi có con chung. Nếu tôi muốn đăng ký kết hôn bây giờ, tôi sẽ có quyền và nghĩa vụ gì đối với con và tài sản chúng tôi đang có?","Theo Điều 14 khoản 1 của Luật Hôn nhân và Gia đình, việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn không làm phát sinh quyền, nghĩa vụ giữa vợ và chồng. Tuy nhiên, đối với con chung, tài sản và các nghĩa vụ hợp đồng đã phát sinh, các bên vẫn phải thực hiện theo quy định tại Điều 15 và Điều 16 của Luật này. Cụ thể, Điều 15 quy định về quyền và nghĩa vụ của vợ chồng khi đã đăng ký kết hôn, và Điều 16 quy định về việc giải quyết các tranh chấp về quyền, nghĩa vụ liên quan đến hôn nhân, gia đình. Do đó, bạn có thể đăng ký kết hôn và các quyền, nghĩa vụ liên quan đến con, tài sản, hợp đồng sẽ được giải quyết theo quy định của Luật Hôn nhân và Gia đình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.021,0.771,0.5,0.465
"Tôi và chồng sống chung một vợ một chồng, có con. Sau này chúng tôi đăng ký kết hôn, thì quan hệ hôn nhân được xác lập từ thời điểm nào?","Theo quy định pháp luật, quan hệ hôn nhân được xác lập từ thời điểm đăng ký kết hôn. Điều 15 và Điều 16 của Luật Hôn nhân và Gia đình quy định rõ về quyền và nghĩa vụ của các bên trong trường hợp nam, nữ chung sống như vợ chồng mà không đăng ký hôn nhân, và khi tiến hành đăng ký kết hôn, quan hệ hôn nhân sẽ có hiệu lực từ thời điểm đăng ký đó. Do đó, bạn cần tiến hành thủ tục đăng ký kết hôn để xác lập quan hệ hôn nhân chính thức.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.025,0.774,0.5,0.467
"Tôi và chồng đang có những tranh cãi lớn liên quan đến việc phân chia công việc nhà và chăm sóc con cái. Chồng tôi bảo rằng tôi chỉ làm việc nhà, không đóng góp gì cho gia đình, nhưng tôi cũng rất mệt mỏi và cần được hỗ trợ. Theo luật, tôi có quyền gì để bảo vệ quyền lợi của mình?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
Tôi đang gặp khó khăn trong việc chia sẻ công việc nhà với chồng. Chúng tôi có những nghĩa vụ gì theo luật định để đảm bảo sự hòa hợp trong gia đình?,"Theo Điều 19 Bộ luật Hôn nhân và Gia đình, vợ chồng có nghĩa vụ thương yêu, chung thủy, tôn trọng, quan tâm, chăm sóc, giúp đỡ lẫn nhau và cùng nhau chia sẻ, thực hiện các công việc trong gia đình. Điều này nhấn mạnh sự gắn kết và trách nhiệm của cả hai vợ chồng trong việc xây dựng một mối quan hệ hôn nhân bền vững. Việc thỏa thuận về phân công công việc là hoàn toàn phù hợp và được luật pháp khuyến khích, nhưng nghĩa vụ chung về sự hỗ trợ và chia sẻ vẫn là yếu tố then chốt để duy trì tình nghĩa vợ chồng.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.02,0.746,0.5,0.454
"Tôi và vợ/chồng đang muốn thay đổi nghề nghiệp, nhưng chồng/vợ tôi không muốn. Chúng tôi có quyền ép buộc nhau thay đổi hay không?","Theo Điều 23 của Luật Hôn nhân và Gia đình, vợ, chồng có quyền, nghĩa vụ tạo điều kiện, giúp đỡ nhau lựa chọn nghề nghiệp, học tập, nâng cao trình độ văn hóa, chuyên môn, nghiệp vụ; tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội.  Tuy nhiên, quyền này mang tính khuyến khích, tạo điều kiện, không có quyền ép buộc đối phương thay đổi nghề nghiệp.  Để giải quyết tranh chấp về lựa chọn nghề nghiệp, các bên cần thương lượng, thỏa thuận và có thể tìm kiếm sự tư vấn của luật sư để xác định phương án tốt nhất cho cả hai.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.019,0.757,0.5,0.458
"Bố tôi mất năng lực hành vi dân sự, mẹ tôi muốn ly hôn với ông ấy. Tòa án sẽ làm gì?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi và chồng đang cùng kinh doanh một cửa hàng. Tôi đã viết giấy tờ ủy quyền cho người khác đứng tên mua tài sản chung. Sau này, tôi phát hiện ra việc này có vấn đề gì?","Theo Điều 26 của Luật Hôn nhân và Gia đình, nếu vợ hoặc chồng đứng tên trên giấy chứng nhận tài sản chung để thực hiện giao dịch mua bán tài sản, đồng thời trái với quy định về đại diện giữa vợ và chồng, thì giao dịch đó sẽ vô hiệu. Điều này có nghĩa là việc ủy quyền cho người khác đứng tên mua tài sản chung trong trường hợp bạn và chồng chưa thực hiện thủ tục đại diện chung sẽ gây ra hậu quả pháp lý nghiêm trọng. Để tránh rủi ro, bạn và chồng nên thực hiện đầy đủ các thủ tục về đại diện chung khi thực hiện bất kỳ giao dịch nào liên quan đến tài sản chung. Việc này giúp bảo vệ quyền lợi của cả hai bạn và tránh các tranh chấp phát sinh sau này.  Vui lòng tham khảo Điều 26 của Luật Hôn nhân và Gia đình để biết thêm chi tiết.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.016,0.765,0.5,0.461
"Tôi và chồng đang có nhiều bất đồng trong việc quản lý tài chính gia đình. Chúng tôi chưa thống nhất được về việc phân chia thu nhập, đầu tư và các khoản chi tiêu khác. Liệu theo quy định của pháp luật hiện hành, tôi có quyền yêu cầu chồng phải chịu trách nhiệm và thực hiện các nghĩa vụ tài chính theo quy định của Luật Hôn nhân và Gia đình không?","Theo quy định tại Điều 27 của Luật Hôn nhân và Gia đình, vợ, chồng có thể chịu trách nhiệm liên đới đối với giao dịch do một bên thực hiện nếu giao dịch đó phù hợp với quy định về đại diện. Ngoài ra, vợ, chồng còn chịu trách nhiệm liên đới về các nghĩa vụ quy định tại Điều 37 của Luật này, bao gồm cả các nghĩa vụ liên quan đến quản lý và sử dụng tài sản chung. Trong trường hợp bạn và chồng có bất đồng về việc phân chia thu nhập, đầu tư và các khoản chi tiêu khác, bạn có quyền yêu cầu chồng phải chịu trách nhiệm và thực hiện các nghĩa vụ tài chính theo quy định của pháp luật.  Tuy nhiên, để có thể giải quyết vấn đề một cách hiệu quả, bạn nên tìm hiểu kỹ hơn về các điều khoản liên quan và có thể cần sự tư vấn của luật sư để bảo vệ quyền lợi của mình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.756,0.5,0.452
"Tôi và vợ/chồng đang có tranh chấp về tài sản chung. Chúng tôi chưa đăng ký kết hôn nhưng đã có con. Chúng tôi muốn chia tài sản một cách công bằng. Liệu theo luật định, tôi có thể yêu cầu chia tài sản như thế nào?","Theo quy định tại Điều 29 của Luật Hôn nhân và Gia đình, vợ chồng bình đẳng về quyền, nghĩa vụ trong việc tạo lập, chiếm hữu, sử dụng, định đoạt tài sản chung, không phân biệt giữa lao động trong gia đình và lao động có thu nhập. Do đó, trong trường hợp của bạn, dù chưa đăng ký kết hôn, bạn vẫn có quyền yêu cầu chia tài sản chung một cách công bằng dựa trên nguyên tắc này. Việc chia tài sản cần đảm bảo sự bình đẳng giữa hai vợ chồng và không phân biệt giữa lao động của mỗi người. Tuy nhiên, cần lưu ý rằng việc thực hiện quyền, nghĩa vụ liên quan đến tài sản nếu xâm phạm đến quyền lợi của vợ chồng, gia đình hoặc người khác phải có biện pháp bồi thường thiệt hại.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.764,0.5,0.456
"Tôi đang có nhà ở chung với vợ, chúng tôi không có tài sản chung nào khác ngoài căn nhà này. Tuy nhiên, chúng tôi không thống nhất được việc bán nhà, tôi muốn ở lại thì có cần sự đồng ý của vợ hay không?","Theo Điều 31 của Luật Hôn nhân và Gia đình, việc xác lập, thực hiện, chấm dứt các giao dịch liên quan đến nhà là nơi ở duy nhất của vợ chồng phải có sự thỏa thuận của vợ chồng. Trong trường hợp nhà ở thuộc sở hữu riêng của vợ hoặc chồng, chủ sở hữu vẫn có quyền thực hiện các giao dịch liên quan đến tài sản đó, tuy nhiên, vẫn phải đảm bảo chỗ ở cho vợ chồng.  Do đó, trong trường hợp của bạn, bạn có quyền ở lại căn nhà nếu bạn là chủ sở hữu tài sản đó. Tuy nhiên, để tránh các tranh chấp phát sinh, bạn nên thỏa thuận với vợ về việc sử dụng nhà và các vấn đề liên quan.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.758,0.5,0.453
"Tôi và chồng đang vay nợ ngân hàng với tên tôi đứng tên. Chồng tôi không hề biết gì. Nếu sau này tôi không trả được nợ, ngân hàng có thể kiện tôi hoặc chồng tôi không?","Theo Điều 33 về tài sản chung của vợ chồng, tài sản do một bên tạo ra, thu nhập phát sinh từ tài sản riêng (bao gồm cả tài sản do vợ chồng chung sở hữu) đều được coi là tài sản chung. Trong trường hợp này, việc vay nợ bằng tên một bên (tức là bạn) sẽ khiến tài sản vay (nợ) trở thành tài sản chung. Ngân hàng có quyền yêu cầu kiện cả hai bên (bạn và chồng) vì tài sản chung là tài sản của cả hai.  Cụ thể, Điều 33 quy định rõ: 'Tài sản chung của vợ chồng gồm tài sản do vợ, chồng tạo ra, thu nhập do lao động, hoạt động sản xuất, kinh doanh, hoa lợi, lợi tức phát sinh từ tài sản riêng và thu nhập hợp pháp khác trong thời kỳ hôn nhân, trừ trường hợp được quy định tại khoản 1 Điều 40 của Luật này'.  Do đó, khi bạn vay nợ bằng tên mình, chồng bạn cũng có quyền yêu cầu ngân hàng thực thi các biện pháp theo quy định pháp luật đối với tài sản chung đó.  Bạn nên tham khảo ý kiến luật sư để được tư vấn cụ thể về khả năng giải quyết vấn đề này.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.015,0.766,0.5,0.461
"Tôi đã mua một căn nhà bằng tiền tiết kiệm của mình sau khi ly hôn, bây giờ chồng tôi bảo đó là tài sản chung của chúng tôi. Tôi có thể làm gì để bảo vệ quyền sở hữu căn nhà này?","Theo quy định tại Điều 40 Luật Hôn nhân và Gia đình, quyền sử dụng đất mà vợ chồng được sau khi kết hôn là tài sản chung. Tuy nhiên, nếu bạn đã mua căn nhà bằng tiền tiết kiệm của mình, chứng minh được nguồn gốc tiền mua nhà là do bạn tự có, thì căn nhà đó có thể được coi là tài sản riêng của bạn. Cần có bằng chứng rõ ràng về nguồn gốc tài sản (ví dụ: hóa đơn thanh toán, sao kê ngân hàng) để chứng minh tài sản đó là của riêng bạn.  Điều 34 Luật Hôn nhân và Gia đình quy định về đăng ký quyền sở hữu tài sản chung, và trong trường hợp này, nếu bạn có bằng chứng chứng minh tài sản thuộc sở hữu riêng thì việc đăng ký quyền sở hữu sẽ không được yêu cầu ghi tên cả hai vợ chồng. Bạn nên tư vấn luật sư để được hướng dẫn cụ thể về cách bảo vệ quyền sở hữu tài sản này và chuẩn bị đầy đủ các bằng chứng cần thiết.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.756,0.5,0.452
